ENT,CVE_MUN,MUN,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,LUG_NAC,LUGAR_EST,AÑO
Oaxaca,20381,Santa Cruz Tacache de Mina,2801,29.7,59.56,61.01,5.25,9.1,68.81,37.09,100,81.49,0.095,Alto,1115,420,1990
Oaxaca,20123,San Bernardo Mixtepec,2797,25.94,67.02,35.34,7.08,18.33,85.38,56.35,100,89.57,0.421,Alto,828,344,1990
Oaxaca,20472,Santiago Laollaga,2790,20.77,51.35,34.43,9.68,27.9,54.38,28.7,100,76.06,-0.39,Medio,1535,500,1990
Oaxaca,20211,San Juan Ozolotepec,2779,37.13,83.68,32.46,51.34,12.16,80.88,93.08,100,83.6,1.003,Alto,423,205,1990
Oaxaca,20102,San AndrÈs Zautla,2767,9.29,34.98,33.47,3.9,20.85,68.99,28.37,100,80.56,-0.531,Bajo,1628,517,1990
Oaxaca,20555,Trinidad Zaachila,2763,16.51,56.53,28.42,3.66,72.86,75.64,59.15,100,92.99,0.375,Alto,873,360,1990
Oaxaca,20180,San Juan Bautista Lo de Soto,2736,31.86,59.97,78.98,9.65,14.95,67.63,52.51,100,90.51,0.452,Alto,799,335,1990
Oaxaca,20020,Constancia del Rosario,2732,51.04,73.61,53.7,52.12,56,84.21,67.8,100,74.28,1.205,Muy alto,317,155,1990
Oaxaca,20285,San Miguel Tlacamama,2732,36.4,65.82,79.51,15.75,67.21,76.06,58,100,90.03,0.988,Alto,432,207,1990
Oaxaca,20226,San Lorenzo Albarradas,2711,18.27,68.46,45.06,8.27,24.37,78.22,39.63,100,92.01,0.294,Alto,946,378,1990
Oaxaca,20087,San AgustÌn Yatareni,2687,13.23,40.45,42.37,4.78,55.5,80.36,54.18,100,84.1,0.119,Alto,1096,418,1990
Oaxaca,20347,San Sebasti·n RÌo Hondo,2678,26.17,75.03,52.11,39.06,23.8,86.29,89.9,100,95.56,1.077,Alto,365,176,1990
Oaxaca,20310,San Pedro Ixtlahuaca,2674,21.48,52.11,62.75,8.41,44.45,77.48,38.82,100,78.08,0.221,Alto,1011,393,1990
Oaxaca,20249,San Mateo Yoloxochitl·n,2647,40.32,69.44,43.97,24.29,31.43,78.73,55.38,100,94.94,0.785,Alto,546,252,1990
Oaxaca,20083,San AgustÌn de las Juntas,2646,9.13,37.72,14.4,6.54,22.79,67.26,23.64,100,67.02,-0.781,Bajo,1820,543,1990
Oaxaca,20263,San Miguel Coatl·n,2646,49.54,81.51,77.85,74.6,68.82,85.84,97.28,100,92.74,1.981,Muy alto,47,19,1990
Oaxaca,20077,Reyes Etla,2623,8.42,35.52,22.8,3.16,82.91,72.41,27.87,100,80,-0.253,Medio,1422,484,1990
Oaxaca,20214,San Juan Quiotepec,2623,44.78,71.97,36.41,5.45,19.98,88.02,87.5,100,72.69,0.713,Alto,603,271,1990
Oaxaca,20351,San SimÛn Almolongas,2615,33.5,78.53,34.99,9.18,91.69,78.39,73.73,100,88.31,1.006,Alto,422,204,1990
Oaxaca,20379,Santa Cruz Nundaco,2609,32.2,66.74,57.02,71.8,62.23,82.31,90.41,100,90.28,1.374,Muy alto,229,110,1990
Oaxaca,20113,San Baltazar Loxicha,2565,16.27,74.38,20.27,7.91,100,85.48,88.34,100,96.6,0.983,Alto,437,208,1990
Oaxaca,20264,San Miguel Chicahua,2543,34.81,59.45,92.88,84.19,90.97,83.87,89.02,100,90.32,1.771,Muy alto,91,40,1990
Oaxaca,20003,AsunciÛn Cacalotepec,2533,44.37,68.27,58.47,50.22,90.83,71.86,89.69,100,96.15,1.484,Muy alto,189,92,1990
Oaxaca,20279,San Miguel Suchixtepec,2530,42.71,73.9,55.62,51.44,23.28,86.9,58,100,91.68,1.112,Alto,347,172,1990
Oaxaca,20491,Santiago Textitl·n,2522,24.69,69.24,35.81,9.73,18.73,82.51,93.5,100,88.22,0.617,Alto,675,290,1990
Oaxaca,20530,Santo Tom·s Jalieza,2513,20.22,65.22,63.17,3.66,75.06,79.85,59.17,100,93.4,0.771,Alto,559,257,1990
Oaxaca,20118,San BartolomÈ Quialana,2510,32.72,73,68.85,9.68,50.51,87.5,73.52,100,72.27,0.878,Alto,493,231,1990
Oaxaca,20391,Santa LucÌa Miahuatl·n,2481,75.77,93.43,87.49,75.69,52.32,86.94,97.78,100,95.81,2.402,Muy alto,9,4,1990
Oaxaca,20260,San Miguel Alo·pam,2479,20.5,76.7,69.62,5.08,0.81,78.49,91.38,100,75.14,0.536,Alto,741,314,1990
Oaxaca,20394,Santa MarÌa Alotepec,2474,33.01,62.65,57.3,20.9,14.77,60,75.1,100,77.56,0.333,Alto,912,369,1990
Oaxaca,20231,San Lucas Camotl·n,2471,52.28,78.35,77.82,80.12,18.75,76.28,97.08,100,97.71,1.692,Muy alto,118,52,1990
Oaxaca,20157,San Jacinto Amilpas,2449,11.92,32.66,25.87,5.76,47.98,72.63,31.24,100,75.49,-0.414,Medio,1553,502,1990
Oaxaca,20455,Santiago Ayuquililla,2405,27.35,70.89,81.62,21.75,75.34,73.57,39.5,100,94.3,0.938,Alto,459,217,1990
Oaxaca,20213,San Juan Quiahije,2401,61.09,82.27,60.38,16.89,55.46,87.04,82.78,100,71.96,1.329,Muy alto,255,126,1990
Oaxaca,20206,San Juan de los CuÈs,2391,15.18,50.15,13.43,15.85,32.76,72.78,61.86,100,83.03,-0.047,Medio,1230,446,1990
Oaxaca,20060,Mixistl·n de la Reforma,2371,42.86,72.22,51.14,35.09,43.31,78.11,91.71,100,96.63,1.224,Muy alto,301,150,1990
Oaxaca,20061,Monjas,2359,47.63,74.68,78.47,26.11,87.56,82.75,65.79,100,93.54,1.51,Muy alto,179,85,1990
Oaxaca,20081,San AgustÌn Atenango,2358,39.63,75.27,45.13,10.45,15.92,67.31,60.6,100,78.26,0.409,Alto,841,349,1990
Oaxaca,20091,San AndrÈs Huay·pam,2355,6.46,29,8.48,9.51,15.37,51.72,22.52,100,60.49,-1.206,Bajo,2103,561,1990
Oaxaca,20519,Santo Domingo Tomaltepec,2353,14.61,61.91,53.36,2.72,28.78,79.27,58.21,100,83.21,0.261,Alto,976,386,1990
Oaxaca,20490,Santiago Texcalcingo,2349,49.03,88.08,27.76,16.99,95.98,72.34,89.36,100,95.95,1.385,Muy alto,225,108,1990
Oaxaca,20497,Santiago Yaitepec,2346,72.54,90.64,65.47,6.2,9.42,79.64,70.29,100,89.07,1.283,Muy alto,272,138,1990
Oaxaca,20193,San Juan del Estado,2345,13.9,58.21,16.15,6.41,6.88,75.4,57.99,100,76.54,-0.21,Medio,1373,470,1990
Oaxaca,20496,Santiago XiacuÌ,2333,11.01,39.12,7.42,2.44,6.77,54.63,41.86,100,88.09,-0.72,Bajo,1779,535,1990
Oaxaca,20344,San Sebasti·n Coatl·n,2329,24.44,76.31,56.5,53.54,52.73,79.58,72.02,100,94.78,1.138,Muy alto,340,167,1990
Oaxaca,20435,Santa MarÌa Tepantlali,2318,70.68,84.5,51.34,56.15,70.74,77.8,89.03,100,92.54,1.839,Muy alto,74,32,1990
Oaxaca,20486,Villa Tej˙pam de la UniÛn,2317,21.21,56.91,45.68,16.88,15.94,67.45,35.4,100,88.94,0.039,Medio,1156,432,1990
Oaxaca,20363,Santa Catarina Ixtepeji,2315,7.71,49.52,18.43,5.7,7.92,67.28,67.52,100,91.75,-0.23,Medio,1406,477,1990
Oaxaca,20527,Santos Reyes P·palo,2312,36.6,87.77,51.69,9.17,56.2,87.41,88.93,100,97.66,1.336,Muy alto,251,124,1990
Oaxaca,20174,¡nimas Trujano                                   ,2282,11.95,40.66,18.32,3.94,61.44,64.53,18.42,100,75.92,-0.486,Medio,1607,512,1990
