ENT,CVE_MUN,MUN,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM,LUG_NAC,LUGAR_EST,AÑO
Aguascalientes,1001,Aguascalientes,506274,6.05,27.99,6.55,3.64,3,45.65,5.65,11.47,58.36,-1.833,Muy bajo,2341,9,1990
Aguascalientes,1003,Calvillo,48440,9.56,53.65,13.89,7.21,6.6,62.33,8.85,54.34,72.01,-0.957,Bajo,1953,7,1990
Aguascalientes,1005,Jes˙s MarÌa,41092,10.3,50.73,13.14,7.91,6.36,70.05,13.67,51.47,69.7,-0.895,Bajo,1910,5,1990
Aguascalientes,1007,RincÛn de Romos,33781,9.91,43.11,21.9,7.53,6.01,63.44,13.15,49.78,75.99,-0.947,Bajo,1944,6,1990
Aguascalientes,1002,Asientos,32225,11.02,53.64,41.21,13.45,8.87,66.74,14.48,100,82.06,-0.383,Medio,1532,1,1990
Aguascalientes,1006,PabellÛn de Arteaga,26051,8.83,40.95,8.76,4.91,4.38,61.03,9.16,29.51,70.23,-1.263,Bajo,2136,8,1990
Aguascalientes,1009,Tepezal·,14809,9.06,52.49,24.17,6.55,11.05,67.3,7.49,100,80.17,-0.597,Bajo,1676,4,1990
Aguascalientes,1004,CosÌo,10247,7.83,50.99,29.3,6.59,3.69,67.65,19.42,100,82.28,-0.537,Bajo,1633,3,1990
Aguascalientes,1008,San JosÈ de Gracia,6740,7.79,46.27,49.45,11.76,14.71,66.32,5.91,100,81.77,-0.477,Medio,1601,2,1990
Baja California,2004,Tijuana,747381,4.16,22.6,5.34,14.32,30.24,45.56,7.96,2.23,34.43,-1.978,Muy bajo,2371,3,1990
Baja California,2002,Mexicali,601938,4.71,24.4,2.95,3.15,8.36,46.64,7.91,18.26,43.8,-1.979,Muy bajo,2372,4,1990
Baja California,2001,Ensenada,259979,6,26.78,7.34,14.29,13.45,42.26,8.67,23.31,47.25,-1.821,Muy bajo,2339,2,1990
Baja California,2003,Tecate,51557,5.26,26.41,9.06,21.81,27.16,45.72,10.33,21.95,42.66,-1.711,Muy bajo,2307,1,1990
Baja California Sur,3003, La Paz                                           ,160970,4.13,21.42,4.21,7.32,7.28,46.27,9.13,14.49,54.52,-1.89,Muy bajo,2356,4,1990
Baja California Sur,3001,Comond˙,74346,8.19,37.04,9.22,10.85,10.2,54.08,20.09,32.22,57.85,-1.377,Bajo,2190,1,1990
Baja California Sur,3008, Los Cabos                                        ,43920,5.29,31.33,9.87,24.35,13.4,52.44,21.97,29.53,47.55,-1.491,Bajo,2238,3,1990
Baja California Sur,3002,MulegÈ,38528,5.7,34.04,11.49,12.8,18.66,44.01,13.83,54.78,53.37,-1.485,Bajo,2237,2,1990
Campeche,4002,Campeche,173645,9.2,32.27,14.59,5.48,8.86,57.25,9.62,13.32,67.22,-1.413,Bajo,2211,9,1990
Campeche,4003,Carmen,136034,12.12,41.03,16.79,15.61,40.43,63.49,22.46,30.33,57.26,-0.959,Bajo,1954,8,1990
Campeche,4004,ChampotÛn,71836,22.75,59.56,33.76,25.38,36.5,72.03,32.73,64.96,74.44,-0.071,Medio,1256,3,1990
Campeche,4009,Esc·rcega,44496,19.37,57.42,28.46,18.2,21.69,73.75,39.2,54.31,74.53,-0.255,Medio,1423,5,1990
Campeche,4001,CalkinÌ,38883,24.77,55.4,41.73,10.12,42.2,70.35,34.19,35.2,73.11,-0.23,Medio,1407,4,1990
Campeche,4006,HopelchÈn,36271,28.8,66.05,57.46,33.19,61.21,74.62,46.62,82.95,80.2,0.603,Alto,682,1,1990
Campeche,4005,Hecelchak·n,20290,20.75,50.71,33.78,15.6,37.42,76.41,29.54,30.62,77.71,-0.284,Medio,1448,6,1990
Campeche,4007,Palizada,7162,17.69,60.03,24.27,43.66,62.55,68.19,48.47,100,78.18,0.27,Alto,971,2,1990
Campeche,4008,Tenabo,6568,22.27,55.94,33.14,16.08,22.62,78.25,21.31,21.53,83.37,-0.295,Medio,1462,7,1990
Coahuila de Zaragoza,5035,TorreÛn,464825,3.74,21.67,6.44,1.7,2.55,42.96,5.63,5.46,57.22,-1.998,Muy bajo,2377,37,1990
Coahuila de Zaragoza,5030,Saltillo,440920,4.85,22.77,7.82,3.45,5.33,47.02,4.31,4.53,58.52,-1.893,Muy bajo,2358,36,1990
Coahuila de Zaragoza,5018,Monclova,178606,3.42,19.59,3.86,2.81,4.33,49.98,3.13,0.46,45.01,-2.097,Muy bajo,2389,38,1990
Coahuila de Zaragoza,5033,San Pedro,99165,9.92,44.94,27.95,8.19,7.95,59.49,26.1,52.03,80.34,-0.798,Bajo,1833,10,1990
Coahuila de Zaragoza,5025,Piedras Negras,98185,4.4,24.78,3.68,5.32,13.21,48.92,6.29,2.04,55.29,-1.86,Muy bajo,2348,34,1990
Coahuila de Zaragoza,5017,Matamoros,86398,9,43.38,32.35,5.45,8.42,60.83,18.35,45.5,78.23,-0.884,Bajo,1903,13,1990
Coahuila de Zaragoza,5020,M˙zquiz,65863,6.01,34.91,6.13,5.64,7.22,56.89,6.55,13.83,60.76,-1.566,Bajo,2262,28,1990
Coahuila de Zaragoza,5010,Frontera,61450,4.58,25.34,5,6.98,5.3,61.15,5.82,5.26,54.31,-1.734,Muy bajo,2317,31,1990
Coahuila de Zaragoza,5002,AcuÒa,56336,4.89,29.91,6.89,12.38,11.57,53.43,10.98,5.95,62.6,-1.585,Bajo,2268,29,1990
Coahuila de Zaragoza,5009,Francisco I. Madero,50981,8.93,45.34,22.38,6.69,5.01,57.62,20.2,48.56,79.68,-0.937,Bajo,1937,16,1990
Coahuila de Zaragoza,5028,Sabinas,47030,4.59,27.28,4.55,3.63,4.47,48.36,3.16,9.49,63.16,-1.8,Muy bajo,2334,33,1990
Coahuila de Zaragoza,5032,San Juan de Sabinas,40231,3.76,25.58,3.6,2.89,7,44.39,3.23,9.81,63.43,-1.865,Muy bajo,2353,35,1990
Coahuila de Zaragoza,5024,Parras,39534,10.36,39.34,31.6,7.21,14.82,56.32,20.86,33.83,74.45,-0.989,Bajo,1974,17,1990
Coahuila de Zaragoza,5027,Ramos Arizpe,28246,10.98,41.76,20.79,14.72,16.24,53.91,16.22,40.54,71.19,-1.038,Bajo,2009,19,1990
Coahuila de Zaragoza,5006,CastaÒos,21356,5.58,30.75,12.14,11.02,25.92,61.8,5.58,13.99,58.76,-1.417,Bajo,2213,25,1990
Coahuila de Zaragoza,5036,Viesca,21238,11.96,54.69,46.64,10.09,24.35,63.07,28.65,100,82.72,-0.224,Medio,1395,2,1990
Coahuila de Zaragoza,5031,San Buenaventura,20216,4.93,27.73,5.82,6.21,9.11,52.85,7.04,13.38,56.94,-1.721,Muy bajo,2309,30,1990
Coahuila de Zaragoza,5003,Allende,18486,4.91,29.82,5.87,3.35,10.64,47.49,3.47,9.94,60,-1.773,Muy bajo,2327,32,1990
Coahuila de Zaragoza,5004,Arteaga,17414,12.65,50.3,25.83,12.73,13.46,61.4,20.45,100,82.32,-0.495,Medio,1613,8,1990
Coahuila de Zaragoza,5022,Nava,16915,5.1,32.63,7.43,8.35,22.9,50.28,5.62,17.75,61.54,-1.555,Bajo,2257,27,1990
Coahuila de Zaragoza,5007, Cuatro CiÈnegas                                  ,12302,9.07,40.85,16.8,27.16,22.46,59.26,23.62,31.28,71.05,-0.918,Bajo,1927,15,1990
Coahuila de Zaragoza,5011,General Cepeda,11966,14.62,57.65,39.68,12.86,14.91,59.58,18.03,100,88.6,-0.283,Medio,1447,4,1990
Coahuila de Zaragoza,5038,Zaragoza,11184,5.88,39,9.5,6.9,26.73,49.72,8.08,19.6,67.39,-1.386,Bajo,2198,24,1990
Coahuila de Zaragoza,5034,Sierra Mojada,9793,5.97,33.47,20.04,27.24,37.69,53.67,12.56,100,51.73,-1.008,Bajo,1985,18,1990
Coahuila de Zaragoza,5014,JimÈnez,8253,7.03,53.17,16.32,21.26,60.45,53.91,19.9,100,78.47,-0.425,Medio,1563,5,1990
Coahuila de Zaragoza,5023,Ocampo,7857,11.42,54.07,38.49,55.93,41.71,56.6,19.66,100,76.15,-0.131,Medio,1298,1,1990
Coahuila de Zaragoza,5019,Morelos,6647,5.11,34.71,10.49,4.6,22.4,52.26,5.87,16.74,62.15,-1.512,Bajo,2245,26,1990
Coahuila de Zaragoza,5037,Villa UniÛn,5866,7.62,47.16,11.83,9.83,20.32,51.53,8.94,100,76.09,-0.89,Bajo,1907,14,1990
Coahuila de Zaragoza,5021,Nadadores,5515,7.57,34.9,5.78,9.05,14.27,57.41,11.28,100,66.78,-1.095,Bajo,2040,20,1990
Coahuila de Zaragoza,5026,Progreso,4041,8.04,49.92,4.05,7.88,35.03,52.95,12.26,100,72.33,-0.843,Bajo,1873,12,1990
Coahuila de Zaragoza,5008,Escobedo,2966,7.67,48.96,8.49,16.76,62.57,57.28,11.75,100,82.95,-0.482,Medio,1606,7,1990
Coahuila de Zaragoza,5012,Guerrero,2374,9.64,51.9,9.93,18.22,35.18,45.74,12.05,100,72.43,-0.797,Bajo,1831,9,1990
Coahuila de Zaragoza,5016,Lamadrid,2006,8.19,30.98,3.89,13.61,7.48,51.62,5.58,100,63.68,-1.279,Bajo,2143,22,1990
Coahuila de Zaragoza,5029,Sacramento,1990,7.64,35.3,6.44,8.89,6.05,56.5,15.42,100,66.61,-1.118,Bajo,2057,21,1990
Coahuila de Zaragoza,5005,Candela,1888,15.34,53.74,7.59,6.37,13.16,47.99,8.65,100,79.2,-0.836,Bajo,1866,11,1990
Coahuila de Zaragoza,5015,Ju·rez,1668,6.1,48.48,11.82,36.37,37.82,58.05,22.24,100,82.96,-0.43,Medio,1566,6,1990
Coahuila de Zaragoza,5001,Abasolo,1409,4.9,36.54,6.46,7.81,2.77,39.08,1.77,100,74.81,-1.356,Bajo,2175,23,1990
Coahuila de Zaragoza,5013,Hidalgo,1220,10.25,58.55,9.2,48.52,38.07,54.36,35.5,100,77.19,-0.258,Medio,1427,3,1990
Colima,6002,Colima,116505,5.64,24.2,3.33,3.27,3.52,43.33,10.62,8.19,47.72,-2.012,Muy bajo,2379,10,1990
Colima,6007,Manzanillo,92863,8.31,32.59,11.69,3.73,11.13,58.24,16.39,18.34,36.53,-1.681,Muy bajo,2296,8,1990
Colima,6009,Tecom·n,82699,14.83,49.45,7.25,8.58,5.58,65.13,33.02,26.31,58.64,-1.043,Bajo,2013,6,1990
Colima,6010, Villa de ¡lvarez                                 ,37842,6.18,30.13,2.56,5.02,3.35,58.28,15.88,5.19,53.69,-1.688,Muy bajo,2302,9,1990
Colima,6001,ArmerÌa,27782,13.89,49.98,12.36,9.32,12.48,64.21,38.01,24.42,59.72,-0.955,Bajo,1951,4,1990
Colima,6005,CuauhtÈmoc,24458,8.79,38.23,5.32,4.14,4.35,56.11,15.52,40.01,55.06,-1.454,Bajo,2222,7,1990
Colima,6003,Comala,16909,9.52,46.77,24.29,13.51,5.99,65.31,33.75,55.23,62.37,-0.847,Bajo,1878,2,1990
Colima,6004,Coquimatl·n,16019,13.47,48.02,10.55,7.42,4.28,65,30.92,39.43,58.65,-1.032,Bajo,2001,5,1990
Colima,6008,Minatitl·n,8191,10.09,39.79,25.3,10.26,11.32,56.8,27.32,100,54.31,-0.954,Bajo,1950,3,1990
Colima,6006,Ixtlahuac·n,5242,17.02,61.48,28.23,14.21,15.8,61.13,45.58,100,77.95,-0.207,Medio,1367,1,1990
Chiapas,7101,Tuxtla GutiÈrrez,295608,10.71,29.56,7.26,3.05,15.61,54.5,14.29,2.02,60.17,-1.564,Bajo,2260,111,1990
Chiapas,7089,Tapachula,222405,16.38,43.53,23.72,19.27,44.72,65.27,33.45,34.72,68.96,-0.585,Bajo,1669,107,1990
Chiapas,7059,Ocosingo,121012,46.71,78.29,60.24,67.95,49.17,80.8,74.68,84.82,87.56,1.38,Muy alto,227,30,1990
Chiapas,7078,San CristÛbal de las Casas,89335,24.99,44.79,21.72,16.95,27.47,60.06,33.99,17.85,71.25,-0.689,Bajo,1754,110,1990
Chiapas,7052, Las Margaritas                                   ,86586,48.37,83.27,38.54,66.4,72.72,83.36,77.9,90.02,86.2,1.482,Muy alto,191,26,1990
Chiapas,7019,Comit·n de DomÌnguez,78896,22.96,53.5,35.46,16.97,33.68,63.45,38,38.78,79.06,-0.295,Medio,1463,104,1990
Chiapas,7108,Villaflores,73207,22.86,59.07,33.29,11.19,25.18,73.99,31.39,59.46,81.44,-0.148,Medio,1312,99,1990
Chiapas,7097,Tonal·,67491,19.22,55.11,25.32,16.4,46.47,71.46,18.88,52.23,73.89,-0.339,Medio,1492,106,1990
Chiapas,7031,ChilÛn,66644,58.17,82.26,79.74,78.04,41.66,84.93,83.21,100,93.31,1.886,Muy alto,63,9,1990
Chiapas,7065,Palenque,63209,31.6,65.22,50.41,43.16,58.92,77.07,49.79,73.01,79.52,0.632,Alto,660,68,1990
Chiapas,7017,Cintalapa,59152,21.89,59.49,29.07,21.28,39.6,70.09,29.39,50.46,80.24,-0.15,Medio,1313,100,1990
Chiapas,7099, La Trinitaria                                    ,57975,28.43,68.52,37.68,31.01,71.06,81.02,68.52,90.51,84.76,0.818,Alto,522,54,1990
Chiapas,7107,Villa Corzo,54424,28.92,67.23,47.25,21.83,32.74,77.36,42.55,50.65,83.82,0.275,Alto,966,88,1990
Chiapas,7023,Chamula,51757,71.3,91.2,89.88,43.33,65.92,79.75,93.69,100,92.1,2.088,Muy alto,30,6,1990
Chiapas,7096,Tila,48558,50.5,78.09,69.14,65.94,49.17,82.41,88.12,89.67,86.51,1.563,Muy alto,164,24,1990
Chiapas,7057,Motozintla,48106,20.24,64.9,38.87,47.59,26.97,82.97,51.1,76.48,81.93,0.414,Alto,834,78,1990
Chiapas,7061,Ocozocoautla de Espinosa,47954,25.39,67.35,35.51,22.65,26.81,73.76,51.15,57.12,83.96,0.175,Alto,1056,92,1990
Chiapas,7027,Chiapa de Corzo,45143,24.84,57.74,32.24,10.73,28.13,70.12,32.76,58.56,78.87,-0.2,Medio,1363,102,1990
Chiapas,7040,Huixtla,44496,19.02,52.21,31.61,25.59,42.63,70.71,29.53,43.86,71.53,-0.301,Medio,1470,105,1990
Chiapas,7034,Frontera Comalapa,44222,20.42,64.79,50.3,22.23,37.14,80.32,49.96,81.21,83.66,0.389,Alto,862,80,1990
Chiapas,7106,Venustiano Carranza,43334,37.75,70.36,36.04,14.09,22.08,72.87,41.52,73.34,81.78,0.235,Alto,995,91,1990
Chiapas,7069,Pijijiapan,43248,23.33,63.85,37.17,29.14,74.3,74.41,38.51,72.01,77.63,0.332,Alto,913,84,1990
Chiapas,7077,Salto de Agua,41583,46.33,75.88,76.99,63.43,61.92,84.81,76.88,100,85.97,1.589,Muy alto,158,22,1990
Chiapas,7009,Arriaga,36224,17.42,49.74,25.65,9.87,23.81,65.82,13.45,39.68,76.09,-0.681,Bajo,1747,109,1990
Chiapas,7015,Cacahoat·n,35070,23.66,58.2,19.26,20.42,19.35,77.46,36.11,69.78,82.81,-0.091,Medio,1268,98,1990
Chiapas,7051,Mapastepec,34882,26.33,65.74,41.69,36.59,60.3,73.51,41.92,63.96,80.01,0.384,Alto,864,81,1990
Chiapas,7064,Oxchuc,34868,34.81,64.79,78.31,87.81,59.33,84.77,89.08,100,92.06,1.624,Muy alto,143,19,1990
Chiapas,7046,Jiquipilas,34802,19.37,60.45,27.89,14.25,29.46,69.74,27.43,77.79,83.14,-0.154,Medio,1318,101,1990
Chiapas,7092,Tecpat·n,34465,26.87,68.92,42.81,37.34,28.44,75.84,50.83,82.62,80.92,0.423,Alto,825,77,1990
Chiapas,7020, La Concordia                                     ,33338,33.7,73.87,40.7,24.22,35.43,80.18,41.4,79.98,84.07,0.512,Alto,761,72,1990
Chiapas,7102,Tuxtla Chico,32348,27.35,56.3,53.63,28.59,75.82,78.14,50.4,81.16,80.36,0.576,Alto,706,69,1990
Chiapas,7074,Reforma,30875,16.36,51.64,21.64,20.85,38.75,69.99,25.33,38.24,57.24,-0.64,Bajo,1705,108,1990
Chiapas,7026,ChenalhÛ,30680,51.38,69.24,88.35,78.12,56.19,87.23,90.49,100,93.03,1.879,Muy alto,66,10,1990
Chiapas,7080,Siltepec,29629,33.39,81.87,51.82,76.53,31.02,89.09,72.93,100,90.18,1.347,Muy alto,242,31,1990
Chiapas,7037,Huehuet·n,28335,26.25,60.5,56.47,39.49,64.52,79.84,51.19,80.55,84.36,0.69,Alto,625,64,1990
Chiapas,7081,Simojovel,28038,56.21,78.81,41.69,65.74,27.84,81.11,78.89,77.39,83.97,1.218,Muy alto,308,36,1990
Chiapas,7068,Pichucalco,27312,28.58,64.08,42.65,45.41,53.19,72.44,40.39,61.16,76.08,0.34,Alto,905,83,1990
Chiapas,7093,Tenejapa,27217,49.44,74.81,73.28,45.69,19.21,84.67,92.14,100,95.3,1.453,Muy alto,204,29,1990
Chiapas,7041, La Independencia                                 ,27073,25.53,73.16,45.54,23.77,64.36,82.54,55.86,100,89.86,0.835,Alto,514,52,1990
Chiapas,7087,Suchiate,25739,28.18,59.55,35.04,23.47,66.05,74.69,52.32,61.56,76.81,0.292,Alto,948,86,1990
Chiapas,7032,Escuintla,24805,24.07,65.09,45.21,36.8,29.47,78.23,38.61,70.2,83.48,0.312,Alto,927,85,1990
Chiapas,7030,Chicomuselo,24753,31.08,75.4,66.16,18.56,46.36,85.06,54.76,100,87.68,0.917,Alto,468,46,1990
Chiapas,7071,Villa Comaltitl·n,24182,26.44,66.98,57.7,44.62,63.76,80.39,52.5,75.1,86.38,0.803,Alto,534,55,1990
Chiapas,7003,Acapetahua,23871,25.78,65.94,56.24,36.04,72.61,77.08,50.3,100,81.78,0.764,Alto,565,59,1990
Chiapas,7103,Tuzant·n,23007,24.48,69.23,59.99,31.76,45.24,81.19,42.01,100,90.78,0.732,Alto,589,61,1990
Chiapas,7006,Amatenango de la Frontera,22578,32.49,74.24,51.55,37.07,20.5,84.77,56.27,100,86.8,0.802,Alto,535,56,1990
Chiapas,7111,Zinacant·n,22392,63.72,81.87,87.22,21.07,46.75,82.43,86.35,100,90.7,1.651,Muy alto,130,18,1990
Chiapas,7079,San Fernando,22388,26.82,67.01,41.97,15.06,46.95,78.7,36.85,69.68,81.06,0.276,Alto,963,87,1990
Chiapas,7100,Tumbal·,22373,53.81,78.25,71.3,67.99,40.16,82.53,86.01,100,93.04,1.671,Muy alto,123,14,1990
Chiapas,7012,Berrioz·bal,22170,29.04,68.12,38.26,23.29,50.27,75.98,43.45,36.36,83.5,0.265,Alto,973,89,1990
Chiapas,7109,YajalÛn,22076,45.74,69.97,48.21,55.21,30.19,77.42,70.08,54.88,86.04,0.86,Alto,498,48,1990
Chiapas,7008,Angel Albino Corzo,22023,35.66,75.88,45.77,19.79,19.79,82.6,50.38,71.27,83.98,0.526,Alto,748,70,1990
Chiapas,7054,Mazat·n,21464,22.77,57.69,45.89,32.41,85.3,77.86,61.14,100,85.1,0.74,Alto,586,60,1990
Chiapas,7112,San Juan Cancuc,21206,66.54,82.62,95.7,90.42,88.96,90.86,98.61,75.62,96.28,2.488,Muy alto,7,1,1990
Chiapas,7002,Acala,21051,30.05,64.88,24.97,10.01,32.21,76.23,31.61,47.44,82.79,-0.036,Medio,1221,96,1990
Chiapas,7048,Ju·rez,20903,24.68,64.27,38.46,41.93,76.19,72.59,43.43,73.35,78.66,0.463,Alto,793,74,1990
Chiapas,7094,Teopisca,18186,49.75,79.2,48.93,26.84,24.06,75.3,65.77,53.36,89.5,0.785,Alto,544,58,1990
Chiapas,7038,Huixt·n,17669,46.49,73.5,67.81,56.54,70.21,82.79,83.05,100,93.76,1.608,Muy alto,147,20,1990
Chiapas,7072,Pueblo Nuevo Solistahuac·n,17490,50.8,82.75,55.1,56.43,27.29,79.98,79.98,100,88.16,1.34,Muy alto,246,32,1990
Chiapas,7076,Sabanilla,17475,42.98,82.73,63.59,80.06,44.32,86.65,90.69,100,86.56,1.652,Muy alto,129,17,1990
Chiapas,7011,Bella Vista,17087,17.36,70.46,64.52,63.45,56.99,84.73,66.24,100,90.57,1.115,Alto,345,39,1990
Chiapas,7004,Altamirano,17026,51.79,83.31,43.67,75.01,48.75,79.95,79.56,100,93.53,1.555,Muy alto,167,25,1990
Chiapas,7075, Las Rosas                                        ,16617,51.26,79.83,57.46,30.8,51.66,73.2,64.77,26.62,84.39,0.844,Alto,507,50,1990
Chiapas,7062,Ostuac·n,16201,33.56,78.59,50.48,63.44,74.92,79.68,51.46,100,84.99,1.172,Muy alto,327,38,1990
Chiapas,7021,Copainal·,16192,23.83,66.34,47.2,29.5,17.45,74.77,58.12,100,85.83,0.433,Alto,815,76,1990
Chiapas,7013,Bochil,16148,41.69,69.58,48.23,38.81,33.57,77.29,66.49,59.26,81.86,0.688,Alto,626,65,1990
Chiapas,7039,Huitiup·n,16109,45.49,81.44,56.49,66.83,43.09,85.94,91.51,100,90.34,1.578,Muy alto,160,23,1990
Chiapas,7049,Larr·inzar,15303,62.07,82.29,80.54,78.11,47.78,85.45,92.19,100,94.41,2.033,Muy alto,40,7,1990
Chiapas,7005,Amat·n,14799,42.17,85.82,62.15,83.14,65.7,79.83,88.2,100,90.97,1.744,Muy alto,101,12,1990
Chiapas,7016,Catazaj·,14391,22.46,61.39,38.8,19.7,70.39,72.16,41.92,100,80.67,0.359,Alto,890,82,1990
Chiapas,7014, El Bosque                                        ,13973,54.34,79.39,40.13,29.45,21.5,80.4,76.53,100,89.3,1.07,Alto,373,42,1990
Chiapas,7105,UniÛn Ju·rez,13620,24.17,63.05,15.3,25.36,14.04,78.59,40.18,100,90.44,0.161,Alto,1068,93,1990
Chiapas,7044,Ixtapa,13203,29.88,69.43,60.84,12.35,14.06,80.9,46.79,100,87.72,0.519,Alto,755,71,1990
Chiapas,7066,PantelhÛ,13131,63.66,82.76,62.74,75.22,46.37,85.17,91.62,100,86.21,1.834,Muy alto,75,11,1990
Chiapas,7086,Suchiapa,12293,29.52,58.18,32.12,9.44,20.27,77.51,35.23,24.59,79.32,-0.21,Medio,1374,103,1990
Chiapas,7001,Acacoyagua,11736,25.16,69.54,51.54,36.05,53.56,85.87,44.32,100,90.24,0.821,Alto,519,53,1990
Chiapas,7083,Socoltenango,11368,40.19,78.22,45.87,26.92,41.4,78.06,49.32,100,89.98,0.853,Alto,503,49,1990
Chiapas,7070, El Porvenir                                      ,10834,19.95,64.97,40.12,83.84,61.82,90.84,71.55,100,92.63,1.206,Muy alto,316,37,1990
Chiapas,7104,Tzimol,9845,37.93,81.55,50.75,16.46,52.39,76.61,49,100,87.05,0.839,Alto,512,51,1990
Chiapas,7047,Jitotol,9702,39.08,77.12,35.15,50.96,15.74,82.35,61.71,100,90.36,0.897,Alto,485,47,1990
Chiapas,7035,Frontera Hidalgo,9446,27.84,58.9,40.7,37.16,67.68,76.24,58.62,100,84.29,0.669,Alto,635,66,1990
Chiapas,7022,Chalchihuit·n,9442,62.02,74.86,81.55,95.56,74.46,86.82,94.2,100,86.17,2.144,Muy alto,26,4,1990
Chiapas,7091,Tapilula,8491,33.67,66.79,39.76,30.21,21.7,78.12,53.65,39.59,79.47,0.257,Alto,979,90,1990
Chiapas,7053,Mazapa de Madero,7491,14.54,69.59,49.85,61.53,35.4,89.47,73.76,100,88.58,0.946,Alto,452,44,1990
Chiapas,7043,Ixtacomit·n,7365,27.74,67.96,41.63,42.77,49.44,76.63,48.82,100,83.04,0.635,Alto,657,67,1990
Chiapas,7042,Ixhuat·n,7306,37.59,82.62,41.73,41.58,21.61,83.62,67.4,100,85.05,0.944,Alto,453,45,1990
Chiapas,7024,Chanal,7195,54.3,78.12,84.34,53.92,94.17,86.33,87.65,100,92.49,1.998,Muy alto,44,8,1990
Chiapas,7067,Pantepec,7087,55.94,86.53,64.81,66.16,32.56,82,85.77,100,84.89,1.595,Muy alto,155,21,1990
Chiapas,7082,Sital·,6640,71.36,93.32,75.02,86.13,69.16,85.49,92.24,100,90.55,2.323,Muy alto,12,3,1990
Chiapas,7084,Solosuchiapa,6417,31.34,74.42,40.91,47.02,21.13,81.12,57.56,100,83.34,0.717,Alto,598,62,1990
Chiapas,7060,Ocotepec,6386,59.91,91.69,65.42,53.35,48.94,81.72,83.85,100,89.62,1.737,Muy alto,103,13,1990
Chiapas,7085,SoyalÛ,6243,35.48,69.41,41.87,10.62,30.9,76.78,56.17,100,78.17,0.451,Alto,800,75,1990
Chiapas,7010,Bejucal de Ocampo,6114,20.68,80.8,45.89,83.51,72.93,91.29,78.74,100,88.89,1.467,Muy alto,196,27,1990
Chiapas,7056,Mitontic,5783,69.3,86.19,91.22,83.75,76.26,85.51,96.37,100,88.11,2.35,Muy alto,10,2,1990
Chiapas,7018,Coapilla,5746,30.96,76.75,55.07,31.59,14.75,75.63,72.45,100,90.01,0.791,Alto,541,57,1990
Chiapas,7007,Amatenango del Valle,5681,60.03,85.46,74.92,43.05,32.18,82.5,81.98,100,96.07,1.654,Muy alto,128,16,1990
Chiapas,7025,Chapultenango,5552,42.7,81.36,60.52,71,45.04,74.27,86.23,100,92.67,1.462,Muy alto,199,28,1990
Chiapas,7073,RayÛn,5431,45.37,76.77,54.27,47.28,36.09,77.26,62.61,100,83.91,1.037,Alto,394,43,1990
Chiapas,7036, La Grandeza                                      ,5325,21.13,67.37,34.53,81.59,42.73,87.2,79.43,100,92.25,1.098,Alto,359,41,1990
Chiapas,7050, La Libertad                                      ,5114,20.28,68.34,30.85,55.21,72.34,67.94,16.55,100,83.38,0.399,Alto,849,79,1990
Chiapas,7028,Chiapilla,4497,47.47,78.16,46.83,12.92,5.8,83,43.57,100,91.16,0.71,Alto,607,63,1990
Chiapas,7045,Ixtapangajoya,4240,30.4,80.05,59.96,63.9,39.92,82.02,73.72,100,93.32,1.274,Muy alto,277,33,1990
Chiapas,7110,San Lucas,4239,43.41,81.57,75.16,24.7,27.47,73.74,80.71,100,86.87,1.109,Alto,349,40,1990
Chiapas,7098,Totolapa,4218,57.6,85.12,69.01,14.58,22.39,90.01,46.84,100,92.53,1.227,Muy alto,298,34,1990
Chiapas,7055,Metapa,3961,22.35,46.95,37.13,25.22,37.94,71.83,42.4,100,71.63,-0.023,Medio,1209,95,1990
Chiapas,7033,Francisco LeÛn,3903,45.81,91.51,84.72,99.36,51.91,85.78,89.56,100,93.47,2.096,Muy alto,29,5,1990
Chiapas,7029,ChicoasÈn,3645,21.29,63.17,36.12,16.54,20.91,77.23,32.04,100,82.34,0.095,Alto,1114,94,1990
Chiapas,7090,Tapalapa,3343,29.43,82.81,60.21,62.1,35.79,77.35,81.4,100,90.28,1.22,Muy alto,305,35,1990
Chiapas,7058,Nicol·s RuÌz,2943,31.64,81.55,34.92,15.46,5.24,87.95,45.83,100,83.24,0.506,Alto,766,73,1990
Chiapas,7063,Osumacinta,2633,17.71,62.97,38.32,13.41,4.47,77.47,36.62,100,76.97,-0.059,Medio,1244,97,1990
Chiapas,7088,Sunuapa,1739,39.16,85.63,64.34,80.16,66.06,84.25,83.35,100,83.77,1.658,Muy alto,127,15,1990
Chihuahua,8037,Ju·rez,798499,3.47,23.13,5.28,4.28,5.91,48.03,6.1,1.12,44.88,-2.041,Muy bajo,2385,66,1990
Chihuahua,8019,Chihuahua,530783,2.6,18.6,7.57,3.29,5.41,39.53,2.9,2.76,46.85,-2.181,Muy bajo,2393,67,1990
Chihuahua,8017,CuauhtÈmoc,112589,3.76,30.26,9.76,7.29,7.65,48.57,2.51,28.48,54.68,-1.733,Muy bajo,2315,61,1990
Chihuahua,8021,Delicias,104014,4.96,28.53,7.76,3.44,4.7,50.41,4.63,15.96,55.13,-1.792,Muy bajo,2332,64,1990
Chihuahua,8032,Hidalgo del Parral,90647,4.2,26.49,11.98,7.06,9.94,48.09,7.73,2.7,55.75,-1.797,Muy bajo,2333,65,1990
